
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 83.0000, H(p,q)-H0 = 0.0000000021865191, L(p,q)-L0 = 0.0000000000000074
t = 83.1000, H(p,q)-H0 = 0.0000000021876961, L(p,q)-L0 = 0.0000000000000075
t = 83.2000, H(p,q)-H0 = 0.0000000021884796, L(p,q)-L0 = 0.0000000000000075
t = 83.3000, H(p,q)-H0 = 0.0000000021890175, L(p,q)-L0 = 0.0000000000000075
t = 83.4000, H(p,q)-H0 = 0.0000000021893970, L(p,q)-L0 = 0.0000000000000073
t = 83.5000, H(p,q)-H0 = 0.0000000021896718, L(p,q)-L0 = 0.0000000000000075
t = 83.6000, H(p,q)-H0 = 0.0000000021898741, L(p,q)-L0 = 0.0000000000000071
t = 83.7000, H(p,q)-H0 = 0.0000000021900265, L(p,q)-L0 = 0.0000000000000073
t = 83.8000, H(p,q)-H0 = 0.0000000021901427, L(p,q)-L0 = 0.0000000000000075
t = 83.9000, H(p,q)-H0 = 0.0000000021902319, L(p,q)-L0 = 0.0000000000000072
t = 84.0000, H(p,q)-H0 = 0.0000000021903018, L(p,q)-L0 = 0.0000000000000073
t = 84.1000, H(p,q)-H0 = 0.0000000021903560, L(p,q)-L0 = 0.0000000000000073
t = 84.2000, H(p,q)-H0 = 0.0000000021903984, L(p,q)-L0 = 0.0000000000000074
t = 84.3000, H(p,q)-H0 = 0.0000000021904314, L(p,q)-L0 = 0.0000000000000074
t = 84.4000, H(p,q)-H0 = 0.0000000021904564, L(p,q)-L0 = 0.0000000000000071
t = 84.5000, H(p,q)-H0 = 0.0000000021904751, L(p,q)-L0 = 0.0000000000000071
t = 84.6000, H(p,q)-H0 = 0.0000000021904882, L(p,q)-L0 = 0.0000000000000070
t = 84.7000, H(p,q)-H0 = 0.0000000021904961, L(p,q)-L0 = 0.0000000000000067
t = 84.8000, H(p,q)-H0 = 0.0000000021904993, L(p,q)-L0 = 0.0000000000000064
t = 84.9000, H(p,q)-H0 = 0.0000000021904980, L(p,q)-L0 = 0.0000000000000063
t = 85.0000, H(p,q)-H0 = 0.0000000021904923, L(p,q)-L0 = 0.0000000000000067
t = 85.1000, H(p,q)-H0 = 0.0000000021904816, L(p,q)-L0 = 0.0000000000000070
t = 85.2000, H(p,q)-H0 = 0.0000000021904655, L(p,q)-L0 = 0.0000000000000068
t = 85.3000, H(p,q)-H0 = 0.0000000021904430, L(p,q)-L0 = 0.0000000000000066
t = 85.4000, H(p,q)-H0 = 0.0000000021904135, L(p,q)-L0 = 0.0000000000000064
t = 85.5000, H(p,q)-H0 = 0.0000000021903752, L(p,q)-L0 = 0.0000000000000063
t = 85.6000, H(p,q)-H0 = 0.0000000021903267, L(p,q)-L0 = 0.0000000000000066
t = 85.7000, H(p,q)-H0 = 0.0000000021902641, L(p,q)-L0 = 0.0000000000000064
t = 85.8000, H(p,q)-H0 = 0.0000000021901839, L(p,q)-L0 = 0.0000000000000062
t = 85.9000, H(p,q)-H0 = 0.0000000021900807, L(p,q)-L0 = 0.0000000000000062
t = 86.0000, H(p,q)-H0 = 0.0000000021899460, L(p,q)-L0 = 0.0000000000000062
t = 86.1000, H(p,q)-H0 = 0.0000000021897676, L(p,q)-L0 = 0.0000000000000062
t = 86.2000, H(p,q)-H0 = 0.0000000021895281, L(p,q)-L0 = 0.0000000000000057
t = 86.3000, H(p,q)-H0 = 0.0000000021892003, L(p,q)-L0 = 0.0000000000000058
t = 86.4000, H(p,q)-H0 = 0.0000000021887415, L(p,q)-L0 = 0.0000000000000062
t = 86.5000, H(p,q)-H0 = 0.0000000021880811, L(p,q)-L0 = 0.0000000000000058
t = 86.6000, H(p,q)-H0 = 0.0000000021871047, L(p,q)-L0 = 0.0000000000000060
t = 86.7000, H(p,q)-H0 = 0.0000000021856101, L(p,q)-L0 = 0.0000000000000060
t = 86.8000, H(p,q)-H0 = 0.0000000021832333, L(p,q)-L0 = 0.0000000000000060
t = 86.9000, H(p,q)-H0 = 0.0000000021792859, L(p,q)-L0 = 0.0000000000000061
t = 87.0000, H(p,q)-H0 = 0.0000000021723967, L(p,q)-L0 = 0.0000000000000066
t = 87.1000, H(p,q)-H0 = 0.0000000021596795, L(p,q)-L0 = 0.0000000000000066
t = 87.2000, H(p,q)-H0 = 0.0000000021346939, L(p,q)-L0 = 0.0000000000000062
t = 87.3000, H(p,q)-H0 = 0.0000000020821591, L(p,q)-L0 = 0.0000000000000060
t = 87.4000, H(p,q)-H0 = 0.0000000019638011, L(p,q)-L0 = 0.0000000000000066
t = 87.5000, H(p,q)-H0 = 0.0000000016811532, L(p,q)-L0 = 0.0000000000000062
t = 87.6000, H(p,q)-H0 = 0.0000000009964631, L(p,q)-L0 = 0.0000000000000069
t = 87.7000, H(p,q)-H0 = -0.0000000004693257, L(p,q)-L0 = 0.0000000000000071
t = 87.8000, H(p,q)-H0 = -0.0000000022005300, L(p,q)-L0 = 0.0000000000000074
t = 87.9000, H(p,q)-H0 = -0.0000000011032628, L(p,q)-L0 = 0.0000000000000073
t = 88.0000, H(p,q)-H0 = -0.0000000003564984, L(p,q)-L0 = 0.0000000000000075
t = 88.1000, H(p,q)-H0 = -0.0000000022895406, L(p,q)-L0 = 0.0000000000000075
t = 88.2000, H(p,q)-H0 = -0.0000000010732333, L(p,q)-L0 = 0.0000000000000073
t = 88.3000, H(p,q)-H0 = 0.0000000006458933, L(p,q)-L0 = 0.0000000000000073
t = 88.4000, H(p,q)-H0 = 0.0000000015328927, L(p,q)-L0 = 0.0000000000000071
t = 88.5000, H(p,q)-H0 = 0.0000000019037667, L(p,q)-L0 = 0.0000000000000063
t = 88.6000, H(p,q)-H0 = 0.0000000020568408, L(p,q)-L0 = 0.0000000000000066
t = 88.7000, H(p,q)-H0 = 0.0000000021232862, L(p,q)-L0 = 0.0000000000000062
t = 88.8000, H(p,q)-H0 = 0.0000000021541653, L(p,q)-L0 = 0.0000000000000067
t = 88.9000, H(p,q)-H0 = 0.0000000021695464, L(p,q)-L0 = 0.0000000000000066
t = 89.0000, H(p,q)-H0 = 0.0000000021777204, L(p,q)-L0 = 0.0000000000000061
t = 89.1000, H(p,q)-H0 = 0.0000000021823255, L(p,q)-L0 = 0.0000000000000061
t = 89.2000, H(p,q)-H0 = 0.0000000021850579, L(p,q)-L0 = 0.0000000000000062
t = 89.3000, H(p,q)-H0 = 0.0000000021867548, L(p,q)-L0 = 0.0000000000000067
t = 89.4000, H(p,q)-H0 = 0.0000000021878511, L(p,q)-L0 = 0.0000000000000064
t = 89.5000, H(p,q)-H0 = 0.0000000021885854, L(p,q)-L0 = 0.0000000000000066
t = 89.6000, H(p,q)-H0 = 0.0000000021890915, L(p,q)-L0 = 0.0000000000000062
t = 89.7000, H(p,q)-H0 = 0.0000000021894508, L(p,q)-L0 = 0.0000000000000064
t = 89.8000, H(p,q)-H0 = 0.0000000021897113, L(p,q)-L0 = 0.0000000000000064
t = 89.9000, H(p,q)-H0 = 0.0000000021899041, L(p,q)-L0 = 0.0000000000000064
t = 90.0000, H(p,q)-H0 = 0.0000000021900493, L(p,q)-L0 = 0.0000000000000062
t = 90.1000, H(p,q)-H0 = 0.0000000021901603, L(p,q)-L0 = 0.0000000000000066
t = 90.2000, H(p,q)-H0 = 0.0000000021902459, L(p,q)-L0 = 0.0000000000000063
t = 90.3000, H(p,q)-H0 = 0.0000000021903125, L(p,q)-L0 = 0.0000000000000061
t = 90.4000, H(p,q)-H0 = 0.0000000021903648, L(p,q)-L0 = 0.0000000000000061
t = 90.5000, H(p,q)-H0 = 0.0000000021904051, L(p,q)-L0 = 0.0000000000000057
t = 90.6000, H(p,q)-H0 = 0.0000000021904369, L(p,q)-L0 = 0.0000000000000060
t = 90.7000, H(p,q)-H0 = 0.0000000021904610, L(p,q)-L0 = 0.0000000000000059
t = 90.8000, H(p,q)-H0 = 0.0000000021904785, L(p,q)-L0 = 0.0000000000000057
t = 90.9000, H(p,q)-H0 = 0.0000000021904907, L(p,q)-L0 = 0.0000000000000058
t = 91.0000, H(p,q)-H0 = 0.0000000021904982, L(p,q)-L0 = 0.0000000000000062
t = 91.1000, H(p,q)-H0 = 0.0000000021905009, L(p,q)-L0 = 0.0000000000000064
t = 91.2000, H(p,q)-H0 = 0.0000000021904987, L(p,q)-L0 = 0.0000000000000062
t = 91.3000, H(p,q)-H0 = 0.0000000021904919, L(p,q)-L0 = 0.0000000000000062
t = 91.4000, H(p,q)-H0 = 0.0000000021904804, L(p,q)-L0 = 0.0000000000000062
t = 91.5000, H(p,q)-H0 = 0.0000000021904631, L(p,q)-L0 = 0.0000000000000060
t = 91.6000, H(p,q)-H0 = 0.0000000021904401, L(p,q)-L0 = 0.0000000000000066
t = 91.7000, H(p,q)-H0 = 0.0000000021904093, L(p,q)-L0 = 0.0000000000000064
t = 91.8000, H(p,q)-H0 = 0.0000000021903700, L(p,q)-L0 = 0.0000000000000070
t = 91.9000, H(p,q)-H0 = 0.0000000021903192, L(p,q)-L0 = 0.0000000000000070
t = 92.0000, H(p,q)-H0 = 0.0000000021902540, L(p,q)-L0 = 0.0000000000000068
t = 92.1000, H(p,q)-H0 = 0.0000000021901703, L(p,q)-L0 = 0.0000000000000064
t = 92.2000, H(p,q)-H0 = 0.0000000021900621, L(p,q)-L0 = 0.0000000000000060
t = 92.3000, H(p,q)-H0 = 0.0000000021899208, L(p,q)-L0 = 0.0000000000000058
t = 92.4000, H(p,q)-H0 = 0.0000000021897337, L(p,q)-L0 = 0.0000000000000056
t = 92.5000, H(p,q)-H0 = 0.0000000021894817, L(p,q)-L0 = 0.0000000000000056
t = 92.6000, H(p,q)-H0 = 0.0000000021891347, L(p,q)-L0 = 0.0000000000000049
t = 92.7000, H(p,q)-H0 = 0.0000000021886470, L(p,q)-L0 = 0.0000000000000047
t = 92.8000, H(p,q)-H0 = 0.0000000021879436, L(p,q)-L0 = 0.0000000000000051
t = 92.9000, H(p,q)-H0 = 0.0000000021868976, L(p,q)-L0 = 0.0000000000000054
t = 93.0000, H(p,q)-H0 = 0.0000000021852867, L(p,q)-L0 = 0.0000000000000056
t = 93.1000, H(p,q)-H0 = 0.0000000021827063, L(p,q)-L0 = 0.0000000000000053
t = 93.2000, H(p,q)-H0 = 0.0000000021783869, L(p,q)-L0 = 0.0000000000000056
t = 93.3000, H(p,q)-H0 = 0.0000000021707803, L(p,q)-L0 = 0.0000000000000056
t = 93.4000, H(p,q)-H0 = 0.0000000021565990, L(p,q)-L0 = 0.0000000000000059
t = 93.5000, H(p,q)-H0 = 0.0000000021284249, L(p,q)-L0 = 0.0000000000000057
t = 93.6000, H(p,q)-H0 = 0.0000000020684887, L(p,q)-L0 = 0.0000000000000062
t = 93.7000, H(p,q)-H0 = 0.0000000019319482, L(p,q)-L0 = 0.0000000000000066
t = 93.8000, H(p,q)-H0 = 0.0000000016036170, L(p,q)-L0 = 0.0000000000000066
t = 93.9000, H(p,q)-H0 = 0.0000000008137360, L(p,q)-L0 = 0.0000000000000066
t = 94.0000, H(p,q)-H0 = -0.0000000007952332, L(p,q)-L0 = 0.0000000000000069
t = 94.1000, H(p,q)-H0 = -0.0000000022989144, L(p,q)-L0 = 0.0000000000000069
t = 94.2000, H(p,q)-H0 = -0.0000000006765102, L(p,q)-L0 = 0.0000000000000072
t = 94.3000, H(p,q)-H0 = -0.0000000007326133, L(p,q)-L0 = 0.0000000000000073
t = 94.4000, H(p,q)-H0 = -0.0000000022880635, L(p,q)-L0 = 0.0000000000000074
t = 94.5000, H(p,q)-H0 = -0.0000000007392544, L(p,q)-L0 = 0.0000000000000073
t = 94.6000, H(p,q)-H0 = 0.0000000008495653, L(p,q)-L0 = 0.0000000000000071
t = 94.7000, H(p,q)-H0 = 0.0000000016205666, L(p,q)-L0 = 0.0000000000000070
t = 94.8000, H(p,q)-H0 = 0.0000000019396070, L(p,q)-L0 = 0.0000000000000075
t = 94.9000, H(p,q)-H0 = 0.0000000020720623, L(p,q)-L0 = 0.0000000000000071
t = 95.0000, H(p,q)-H0 = 0.0000000021301885, L(p,q)-L0 = 0.0000000000000073
t = 95.1000, H(p,q)-H0 = 0.0000000021575211, L(p,q)-L0 = 0.0000000000000068
t = 95.2000, H(p,q)-H0 = 0.0000000021712909, L(p,q)-L0 = 0.0000000000000067
t = 95.3000, H(p,q)-H0 = 0.0000000021786840, L(p,q)-L0 = 0.0000000000000063
t = 95.4000, H(p,q)-H0 = 0.0000000021828877, L(p,q)-L0 = 0.0000000000000064
t = 95.5000, H(p,q)-H0 = 0.0000000021854019, L(p,q)-L0 = 0.0000000000000068
t = 95.6000, H(p,q)-H0 = 0.0000000021869742, L(p,q)-L0 = 0.0000000000000069
t = 95.7000, H(p,q)-H0 = 0.0000000021879971, L(p,q)-L0 = 0.0000000000000070
t = 95.8000, H(p,q)-H0 = 0.0000000021886853, L(p,q)-L0 = 0.0000000000000073
t = 95.9000, H(p,q)-H0 = 0.0000000021891625, L(p,q)-L0 = 0.0000000000000073
t = 96.0000, H(p,q)-H0 = 0.0000000021895025, L(p,q)-L0 = 0.0000000000000073
t = 96.1000, H(p,q)-H0 = 0.0000000021897497, L(p,q)-L0 = 0.0000000000000072
t = 96.2000, H(p,q)-H0 = 0.0000000021899338, L(p,q)-L0 = 0.0000000000000071
t = 96.3000, H(p,q)-H0 = 0.0000000021900726, L(p,q)-L0 = 0.0000000000000072
t = 96.4000, H(p,q)-H0 = 0.0000000021901789, L(p,q)-L0 = 0.0000000000000075
t = 96.5000, H(p,q)-H0 = 0.0000000021902609, L(p,q)-L0 = 0.0000000000000072
t = 96.6000, H(p,q)-H0 = 0.0000000021903250, L(p,q)-L0 = 0.0000000000000072
t = 96.7000, H(p,q)-H0 = 0.0000000021903752, L(p,q)-L0 = 0.0000000000000070
t = 96.8000, H(p,q)-H0 = 0.0000000021904141, L(p,q)-L0 = 0.0000000000000068
t = 96.9000, H(p,q)-H0 = 0.0000000021904440, L(p,q)-L0 = 0.0000000000000064
t = 97.0000, H(p,q)-H0 = 0.0000000021904670, L(p,q)-L0 = 0.0000000000000064
t = 97.1000, H(p,q)-H0 = 0.0000000021904837, L(p,q)-L0 = 0.0000000000000063
t = 97.2000, H(p,q)-H0 = 0.0000000021904951, L(p,q)-L0 = 0.0000000000000066
t = 97.3000, H(p,q)-H0 = 0.0000000021905013, L(p,q)-L0 = 0.0000000000000062
t = 97.4000, H(p,q)-H0 = 0.0000000021905035, L(p,q)-L0 = 0.0000000000000069
t = 97.5000, H(p,q)-H0 = 0.0000000021905008, L(p,q)-L0 = 0.0000000000000071
t = 97.6000, H(p,q)-H0 = 0.0000000021904931, L(p,q)-L0 = 0.0000000000000069
t = 97.7000, H(p,q)-H0 = 0.0000000021904808, L(p,q)-L0 = 0.0000000000000071
t = 97.8000, H(p,q)-H0 = 0.0000000021904627, L(p,q)-L0 = 0.0000000000000070
t = 97.9000, H(p,q)-H0 = 0.0000000021904382, L(p,q)-L0 = 0.0000000000000070
t = 98.0000, H(p,q)-H0 = 0.0000000021904062, L(p,q)-L0 = 0.0000000000000070
t = 98.1000, H(p,q)-H0 = 0.0000000021903646, L(p,q)-L0 = 0.0000000000000066
t = 98.2000, H(p,q)-H0 = 0.0000000021903119, L(p,q)-L0 = 0.0000000000000068
t = 98.3000, H(p,q)-H0 = 0.0000000021902442, L(p,q)-L0 = 0.0000000000000070
t = 98.4000, H(p,q)-H0 = 0.0000000021901572, L(p,q)-L0 = 0.0000000000000069
t = 98.5000, H(p,q)-H0 = 0.0000000021900445, L(p,q)-L0 = 0.0000000000000070
t = 98.6000, H(p,q)-H0 = 0.0000000021898964, L(p,q)-L0 = 0.0000000000000068
t = 98.7000, H(p,q)-H0 = 0.0000000021897003, L(p,q)-L0 = 0.0000000000000070
t = 98.8000, H(p,q)-H0 = 0.0000000021894348, L(p,q)-L0 = 0.0000000000000071
t = 98.9000, H(p,q)-H0 = 0.0000000021890686, L(p,q)-L0 = 0.0000000000000071
t = 99.0000, H(p,q)-H0 = 0.0000000021885515, L(p,q)-L0 = 0.0000000000000070
t = 99.1000, H(p,q)-H0 = 0.0000000021878013, L(p,q)-L0 = 0.0000000000000070
t = 99.2000, H(p,q)-H0 = 0.0000000021866788, L(p,q)-L0 = 0.0000000000000071
t = 99.3000, H(p,q)-H0 = 0.0000000021849398, L(p,q)-L0 = 0.0000000000000071
t = 99.4000, H(p,q)-H0 = 0.0000000021821350, L(p,q)-L0 = 0.0000000000000070
t = 99.5000, H(p,q)-H0 = 0.0000000021774016, L(p,q)-L0 = 0.0000000000000068
t = 99.6000, H(p,q)-H0 = 0.0000000021689899, L(p,q)-L0 = 0.0000000000000067
t = 99.7000, H(p,q)-H0 = 0.0000000021531459, L(p,q)-L0 = 0.0000000000000064
t = 99.8000, H(p,q)-H0 = 0.0000000021213139, L(p,q)-L0 = 0.0000000000000060
t = 99.9000, H(p,q)-H0 = 0.0000000020527962, L(p,q)-L0 = 0.0000000000000059
t = 100.0000, H(p,q)-H0 = 0.0000000018950277, L(p,q)-L0 = 0.0000000000000062
Current time                 = 99.99999999999859
Steps                        = 10000
Step attempts                = 10000
Stability limited steps      = 0
Accuracy limited steps       = 0
Error test fails             = 0
NLS step fails               = 0
Inequality constraint fails  = 0
Initial step size            = 0.01
Last step size               = 0.009999999999948264
Current step size            = 0.009999999999948264
f1 RHS fn evals              = 40001
f2 RHS fn evals              = 40001
